compound_name,canonical_smiles,inchikey,source_db,species,rejection_reason
,CCCCC/C=C\C/C=C/CCCCCCCC(=O)O,OYHQOLUKZRVURQ-IXWMQOLASA-N,COCONUT,Magnolia sp.,primary_metabolite
Hydriodic acid,I,,COCONUT,Magnolia sp.,unparseable_smiles
stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,COCONUT,Magnolia sp.,primary_metabolite
ethanol,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,COCONUT,Magnolia sp.,mw_below_100.0
linoleic acid,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,COCONUT,Magnolia sp.,primary_metabolite
,[2H]/C(CCCCCCCC)=C(\[2H])CCCCCCCC(=O)O,ZQPPMHVWECSIRJ-FGFBQCSHSA-N,COCONUT,Magnolia sp.,primary_metabolite
Ethyl acetate-1-13C,CCO[13C](C)=O,XEKOWRVHYACXOJ-AZXPZELESA-N,COCONUT,Magnolia sp.,mw_below_100.0
ETHYL ACETATE,CCOC(C)=O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,COCONUT,Magnolia sp.,mw_below_100.0
iodane,[123IH],,COCONUT,Magnolia sp.,unparseable_smiles
,CCCCCCCC/C=C/CCCCCCCC(=O)O,ZQPPMHVWECSIRJ-MDZDMXLPSA-N,COCONUT,Magnolia sp.,primary_metabolite
acetic acid,CC(=O)O,,COCONUT,Magnolia sp.,unparseable_smiles
1-butanol,CCCCO,LRHPLDYGYMQRHN-UHFFFAOYSA-N,COCONUT,Magnolia sp.,mw_below_100.0
butyric acid,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,COCONUT,Magnolia sp.,mw_below_100.0
Isopropyl alcohol,CC(C)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N,COCONUT,Magnolia sp.,mw_below_100.0
hydrochloric acid,Cl,,COCONUT,Magnolia sp.,unparseable_smiles
,CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,OYHQOLUKZRVURQ-AVQMFFATSA-N,COCONUT,Magnolia sp.,primary_metabolite
Octadecanoic 1-14C acid,CCCCCCCCCCCCCCCCC[14C](=O)O,QIQXTHQIDYTFRH-GTFORLLLSA-N,COCONUT,Magnolia sp.,primary_metabolite
,CCCCC/C=C/C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-KQHSAVHASA-N,COCONUT,Magnolia sp.,primary_metabolite
,[2H]C(C/C=C\CCC([2H])([2H])C([2H])C([2H])([2H])CCC)CCCCC([2H])C(=O)O,ZQPPMHVWECSIRJ-HIOWUFTPSA-N,COCONUT,Magnolia sp.,primary_metabolite
FURFURAL,O=Cc1ccco1,HYBBIBNJHNGZAN-UHFFFAOYSA-N,COCONUT,Magnolia sp.,mw_below_100.0
oleic acid,CCCCCCCC/C=C\CCCCCCCC(=O)O,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,COCONUT,Magnolia sp.,primary_metabolite
iodane,[131IH],,COCONUT,Magnolia sp.,unparseable_smiles
(+)-beta-Eudesmol,,,KNApSAcK,Magnolia liliiflora,unresolvable_name
(+)-beta-Eudesmol,,,KNApSAcK,Magnolia officinalis,unresolvable_name
Kobusinol A,,,KNApSAcK,Magnolia kobus var. borealis,unresolvable_name
Kobusinol B,,,KNApSAcK,Magnolia kobus var. borealis,unresolvable_name
Linoleic acid,CCCCCC=CCC=CCCCCCCCC(=O)O,OYHQOLUKZRVURQ-UHFFFAOYSA-N,KNApSAcK,Magnolia officinalis,primary_metabolite
Oleic acid,CCCCCCCCC=CCCCCCCCC(=O)O,ZQPPMHVWECSIRJ-UHFFFAOYSA-N,KNApSAcK,Magnolia officinalis,primary_metabolite
alpha-Caryophyllene (obsol.),,,KNApSAcK,Magnolia officinalis,unresolvable_name
(+)-Epimagnolin,,,KNApSAcK,Magnolia kobus var. borealis,unresolvable_name
Kobusimin A,,,KNApSAcK,Magnolia kobus,unresolvable_name
Kobusimin B,,,KNApSAcK,Magnolia kobus,unresolvable_name
